time_s,offset_px,heading_deg,control_estimated_v,steer_cmd,drive_cmd,brake_cmd,blink_cmd,stop_detected,stop_active,lane_error_abs_px,heading_error_abs_deg
5.300577640533447,200.0,64.75947073521321,0.0,c,x,brake_on,blink_off,1,1,200.0,64.75947073521321
5.4005279541015625,200.0,0.0,0.0,c,x,brake_on,blink_off,0,1,200.0,0.0
5.500491619110107,200.0,0.0,0.0,c,x,brake_on,blink_off,0,1,200.0,0.0
5.600548505783081,200.0,0.0,0.0,c,x,brake_on,blink_off,0,1,200.0,0.0
5.700589418411255,200.0,0.0,0.0,c,x,brake_on,blink_off,1,1,200.0,0.0
5.800508975982666,200.0,0.0,0.0,c,x,brake_on,blink_off,1,1,200.0,0.0
5.900573015213013,200.0,66.5713071912546,0.0,c,x,brake_on,blink_off,0,1,200.0,66.5713071912546
6.000468969345093,200.0,62.74467162505693,0.0,c,x,brake_on,blink_off,0,1,200.0,62.74467162505693
6.100515842437744,200.0,62.676108698653465,0.0,c,x,brake_on,blink_off,1,1,200.0,62.676108698653465
6.200470924377441,200.0,64.79887635452492,0.0,c,x,brake_on,blink_off,1,1,200.0,64.79887635452492
6.3005146980285645,200.0,63.10376303450663,0.0,c,x,brake_on,blink_off,1,1,200.0,63.10376303450663
6.400539398193359,200.0,64.79887635452492,0.0,c,x,brake_on,blink_off,1,1,200.0,64.79887635452492
6.500552415847778,200.0,66.03751102542182,0.0,c,x,brake_on,blink_off,1,1,200.0,66.03751102542182
6.600513219833374,200.0,0.0,0.0,c,x,brake_on,blink_off,1,1,200.0,0.0
6.70048713684082,200.0,0.0,0.0,c,x,brake_off,blink_off,1,0,200.0,0.0
6.800539255142212,200.0,63.10376303450663,294.6556445517599,a,w,brake_off,blink_izq,1,0,200.0,63.10376303450663
6.900482177734375,200.0,63.778033222445536,295.66704983366833,a,w,brake_off,blink_izq,1,0,200.0,63.778033222445536
7.000639200210571,198.0,0.0,198.0,a,w,brake_off,blink_izq,1,0,198.0,0.0
7.100497722625732,198.0,0.0,198.0,a,w,brake_off,blink_izq,1,0,198.0,0.0
7.200548887252808,203.0,63.43494882292201,298.15242323438304,a,w,brake_off,blink_izq,1,0,203.0,63.43494882292201
7.300579071044922,208.0,0.0,208.0,a,w,brake_off,blink_izq,0,0,208.0,0.0
7.400641918182373,0.0,0.0,0.0,c,w,brake_off,blink_off,0,0,0.0,0.0
7.500620603561401,0.0,0.0,0.0,c,w,brake_off,blink_off,0,0,0.0,0.0
7.600512504577637,0.0,-49.908376864762715,-74.86256529714407,dl,w,brake_off,blink_der,0,0,0.0,49.908376864762715
7.700670003890991,0.0,-50.114107931967425,-75.17116189795114,dl,w,brake_off,blink_der,0,0,0.0,50.114107931967425
7.800619602203369,0.0,-52.9893267663969,-79.48399014959534,dl,w,brake_off,blink_der,0,0,0.0,52.9893267663969
7.900620222091675,-212.0,-51.01158231307639,-288.5173734696146,d,w,brake_off,blink_der,0,0,212.0,51.01158231307639
8.00050687789917,-212.0,-52.03807361985301,-290.0571104297795,d,w,brake_off,blink_der,0,0,212.0,52.03807361985301
8.100610971450806,-209.0,-53.34834387336582,-289.02251581004873,d,w,brake_off,blink_der,0,0,209.0,53.34834387336582
8.20065450668335,-210.0,-53.5288828161534,-290.2933242242301,d,w,brake_off,blink_der,0,0,210.0,53.5288828161534
8.300637245178223,-216.0,-56.07020257793936,-300.105303866909,d,w,brake_off,blink_der,0,0,216.0,56.07020257793936
8.400601387023926,0.0,-59.03624346792648,-88.55436520188972,dl,w,brake_off,blink_der,0,0,0.0,59.03624346792648
